Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Unit Price,Quantity,Discount,Sales,Profit
ORD-00412,2021-01-01,First Class,CUST-0258,Customer_258,Consumer,Ohio_City4,Ohio,Central,Furniture,Tables,Conference Table,667.74,9,0.0,6009.66,786.05
ORD-00130,2021-01-02,Second Class,CUST-0066,Customer_66,Consumer,Illinois_City5,Illinois,Central,Furniture,Chairs,Ergonomic Chair,592.25,6,0.0,3553.5,412.31
ORD-00798,2021-01-03,Second Class,CUST-0006,Customer_6,Consumer,California_City3,California,West,Furniture,Tables,Folding Table,358.77,2,0.05,681.66,63.78
ORD-00389,2021-01-04,Standard Class,CUST-0204,Customer_204,Corporate,Michigan_City3,Michigan,Central,Furniture,Chairs,Ergonomic Chair,457.39,4,0.05,1738.08,192.46
ORD-00226,2021-01-05,Second Class,CUST-0131,Customer_131,Consumer,New York_City3,New York,East,Office Supplies,Labels,Sticky Notes,120.81,4,0.15,410.75,87.18
ORD-00723,2021-01-06,Standard Class,CUST-0113,Customer_113,Consumer,Nevada_City2,Nevada,West,Furniture,Bookcases,Oak Bookcase,240.13,9,0.0,2161.17,176.58
ORD-00847,2021-01-06,Standard Class,CUST-0035,Customer_35,Corporate,Louisiana_City2,Louisiana,South,Technology,Computers,MacBook Pro,1304.8,6,0.05,7437.36,1450.36
ORD-00117,2021-01-07,Second Class,CUST-0222,Customer_222,Consumer,Florida_City5,Florida,East,Furniture,Chairs,Mesh Chair,1190.61,2,0.15,2024.04,85.65
ORD-00311,2021-01-08,Standard Class,CUST-0247,Customer_247,Corporate,Oregon_City2,Oregon,West,Technology,Phones,Google Pixel,1635.48,4,0.15,5560.63,1374.67
ORD-00448,2021-01-12,First Class,CUST-0099,Customer_99,Corporate,Pennsylvania_City2,Pennsylvania,East,Technology,Copiers,Xerox WorkCentre,780.71,1,0.1,702.64,164.33
ORD-00504,2021-01-13,First Class,CUST-0007,Customer_7,Home Office,Tennessee_City4,Tennessee,South,Furniture,Tables,Standing Desk,860.66,5,0.1,3872.97,376.81
ORD-00022,2021-01-14,Standard Class,CUST-0236,Customer_236,Home Office,Texas_City3,Texas,Central,Furniture,Chairs,Ergonomic Chair,424.19,8,0.0,3393.52,380.19
ORD-00168,2021-01-15,Standard Class,CUST-0187,Customer_187,Consumer,New York_City1,New York,East,Furniture,Chairs,Ergonomic Chair,430.43,6,0.15,2195.19,345.88
ORD-00956,2021-01-17,Standard Class,CUST-0149,Customer_149,Home Office,Washington_City4,Washington,West,Furniture,Furnishings,Lamp Set,747.6,2,0.0,1495.2,96.3
ORD-00289,2021-01-17,Standard Class,CUST-0161,Customer_161,Home Office,Tennessee_City1,Tennessee,South,Technology,Phones,iPhone 14,1682.16,3,0.0,5046.48,798.1
ORD-00272,2021-01-20,Standard Class,CUST-0017,Customer_17,Consumer,Virginia_City3,Virginia,East,Furniture,Tables,Standing Desk,398.44,4,0.15,1354.7,178.21
ORD-00318,2021-01-20,Second Class,CUST-0142,Customer_142,Consumer,Nevada_City2,Nevada,West,Technology,Accessories,Keyboard Wireless,563.88,2,0.2,902.21,230.28
ORD-00932,2021-01-20,Standard Class,CUST-0141,Customer_141,Consumer,Oregon_City2,Oregon,West,Technology,Copiers,HP LaserJet,959.34,4,0.05,3645.49,806.7
ORD-00623,2021-01-21,Standard Class,CUST-0085,Customer_85,Home Office,New York_City2,New York,East,Furniture,Chairs,Guest Chair,588.15,6,0.1,3176.01,190.68
ORD-00108,2021-01-24,Standard Class,CUST-0207,Customer_207,Consumer,Missouri_City5,Missouri,Central,Furniture,Tables,Standing Desk,283.49,3,0.0,850.47,79.23
ORD-00681,2021-01-26,Standard Class,CUST-0151,Customer_151,Corporate,Michigan_City2,Michigan,Central,Office Supplies,Envelopes,Padded Mailer,15.49,7,0.0,108.43,23.46
ORD-00587,2021-01-26,Same Day,CUST-0035,Customer_35,Corporate,California_City2,California,West,Furniture,Chairs,Executive Chair,916.84,3,0.15,2337.94,127.03
ORD-00671,2021-01-29,Standard Class,CUST-0034,Customer_34,Corporate,Michigan_City3,Michigan,Central,Furniture,Bookcases,Oak Bookcase,411.59,7,0.05,2737.07,361.9
ORD-00819,2021-01-29,First Class,CUST-0047,Customer_47,Consumer,New York_City5,New York,East,Office Supplies,Labels,Name Badge,90.16,9,0.0,811.44,181.62
ORD-00998,2021-01-29,Second Class,CUST-0032,Customer_32,Home Office,Tennessee_City3,Tennessee,South,Office Supplies,Binders,Portfolio,36.58,8,0.0,292.64,62.13
ORD-00214,2021-01-31,Standard Class,CUST-0112,Customer_112,Consumer,Virginia_City4,Virginia,East,Furniture,Tables,Folding Table,777.6,4,0.1,2799.36,423.14
ORD-00880,2021-02-01,Second Class,CUST-0104,Customer_104,Corporate,Arizona_City5,Arizona,West,Technology,Computers,Dell Laptop,298.27,3,0.1,805.33,168.84
ORD-00634,2021-02-05,First Class,CUST-0039,Customer_39,Corporate,Washington_City2,Washington,West,Technology,Copiers,HP LaserJet,1515.42,5,0.0,7577.1,2032.04
ORD-00545,2021-02-09,Standard Class,CUST-0160,Customer_160,Consumer,California_City4,California,West,Office Supplies,Envelopes,Bubble Wrap,40.08,3,0.1,108.22,11.72
ORD-00133,2021-02-09,Standard Class,CUST-0062,Customer_62,Consumer,Tennessee_City5,Tennessee,South,Technology,Phones,Nokia G50,1772.73,7,0.1,11168.2,2378.54
ORD-00501,2021-02-10,Standard Class,CUST-0074,Customer_74,Corporate,Ohio_City1,Ohio,Central,Furniture,Chairs,Executive Chair,296.07,2,0.2,473.71,29.65
ORD-00554,2021-02-11,Standard Class,CUST-0227,Customer_227,Home Office,Florida_City1,Florida,East,Furniture,Furnishings,Rug,979.52,8,0.3,5485.31,444.06
ORD-00765,2021-02-12,Standard Class,CUST-0146,Customer_146,Consumer,Florida_City1,Florida,East,Office Supplies,Binders,Portfolio,178.02,3,0.3,373.84,38.8
ORD-00165,2021-02-13,Standard Class,CUST-0101,Customer_101,Consumer,Florida_City4,Florida,East,Technology,Phones,Google Pixel,1121.97,3,0.3,2356.14,563.98
ORD-00953,2021-02-14,Standard Class,CUST-0182,Customer_182,Consumer,Tennessee_City5,Tennessee,South,Technology,Accessories,Webcam HD,1437.04,6,0.05,8191.13,1882.28
ORD-00360,2021-02-18,Standard Class,CUST-0129,Customer_129,Consumer,Virginia_City4,Virginia,East,Furniture,Furnishings,Lamp Set,393.55,3,0.0,1180.65,117.61
ORD-00342,2021-02-20,Standard Class,CUST-0196,Customer_196,Corporate,Arizona_City4,Arizona,West,Technology,Copiers,HP LaserJet,389.42,1,0.1,350.48,57.78
ORD-00435,2021-02-20,Standard Class,CUST-0090,Customer_90,Consumer,Virginia_City5,Virginia,East,Technology,Accessories,Webcam HD,486.21,2,0.0,972.42,148.76
ORD-00002,2021-02-21,Standard Class,CUST-0271,Customer_271,Consumer,Oregon_City2,Oregon,West,Office Supplies,Labels,Name Badge,199.41,3,0.3,418.76,78.21
ORD-00569,2021-02-22,Standard Class,CUST-0008,Customer_8,Consumer,New Jersey_City2,New Jersey,East,Technology,Phones,Nokia G50,746.18,1,0.0,746.18,180.02
ORD-00762,2021-02-22,First Class,CUST-0067,Customer_67,Consumer,California_City1,California,West,Office Supplies,Labels,Color Dot Labels,133.73,3,0.0,401.19,65.85
ORD-00016,2021-02-24,First Class,CUST-0294,Customer_294,Consumer,Georgia_City3,Georgia,South,Office Supplies,Paper,Recycled Paper,139.4,4,0.0,557.6,62.09
ORD-00523,2021-02-25,Standard Class,CUST-0182,Customer_182,Corporate,New York_City3,New York,East,Office Supplies,Envelopes,Business Envelope,107.31,7,0.0,751.17,116.03
ORD-00525,2021-02-25,Standard Class,CUST-0091,Customer_91,Consumer,New Jersey_City2,New Jersey,East,Office Supplies,Labels,Address Label,124.35,5,0.1,559.58,65.54
ORD-00371,2021-02-26,Standard Class,CUST-0237,Customer_237,Home Office,California_City3,California,West,Office Supplies,Art,Sketch Pad,77.92,3,0.15,198.7,35.07
ORD-00612,2021-02-28,Standard Class,CUST-0099,Customer_99,Home Office,Oregon_City2,Oregon,West,Furniture,Tables,Conference Table,555.26,7,0.0,3886.82,532.92
